PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Dki Jakarta;Kepulauan Seribu;ID3101;-0,33987;0,660062833;-0,5508;0,0001495;0,0315353;0,0000548;6,1329;28,1716;79,5043;2.587;27749;14,87;43;1,549605391
Dki Jakarta;Kota Jakarta Selatan;ID3171;0,07423;0,21479436;-0,2695;0,0002521;0,0337440;0,0001308;7,6661;27,9652;79,1541;15.363;2226812;3,43;2338;1,049931472
Dki Jakarta;Kota Jakarta Timur;ID3172;0,09766;0,183565649;-0,2383;0,0002445;0,0330376;0,0001210;7,6252;28,0090;79,9598;16.369;3037139;4,16;1861;0,612747721
Dki Jakarta;Kota Jakarta Pusat;ID3173;0,08985;0,113214798;-0,1601;0,0002465;0,0333069;0,0001266;7,8635;28,4013;79,0492;22.220;1056896;4,51;2530;2,393802228
Dki Jakarta;Kota Jakarta Barat;ID3174;0,08987;0,121021574;-0,1601;0,0002579;0,0340100;0,0001269;6,4667;28,2189;78,5690;19.476;2434511;4,25;1995;0,819466414
Dki Jakarta;Kota Jakarta Utara;ID3175;0,05859;0,128818261;-0,1601;0,0002173;0,0330245;0,0001096;7,0778;28,3983;79,5077;12.084;1778981;5,04;1345;0,756050795
Jawa Barat;Bogor;ID3201;-0,19926;0,683611277;-0,5899;0,0002084;0,0309186;0,0000756;10,4355;24,3153;83,0230;2.002;6088233;7,69;655;0,107584582
Jawa Barat;Sukabumi;ID3202;-0,23831;0,761765537;-0,6602;0,0001233;0,0288577;0,0000540;10,7705;24,0402;86,3042;657;2470219;7,09;269;0,108897227
Jawa Barat;Cianjur;ID3203;-0,26174;0,769584444;-0,6602;0,0001243;0,0291364;0,0000494;9,5449;23,6527;85,9360;645;2264328;10,36;360;0,158987567
Jawa Barat;Bandung;ID3204;-0,23830;0,730494053;-0,6446;0,0001224;0,0256144;0,0000526;6,9652;22,3115;86,3472;2.050;3831505;6,91;363;0,094740839
Jawa Barat;Garut;ID3205;-0,25394;0,761755077;-0,6680;0,0000970;0,0265396;0,0000450;9,7997;23,7113;86,4998;841;2636637;9,98;260;0,098610465
Jawa Barat;Tasikmalaya;ID3206;-0,28519;0,777408299;-0,6680;0,0001013;0,0274870;0,0000446;10,7934;25,1838;87,6284;731;1755710;10,34;134;0,076322399
Jawa Barat;Ciamis;ID3207;-0,26175;0,699237959;-0,5977;0,0001166;0,0283913;0,0000465;9,7677;25,6984;87,8939;869;1201685;7,62;150;0,124824725
Jawa Barat;Kuningan;ID3208;-0,23049;0,738326343;-0,6368;0,0001266;0,0284625;0,0000489;10,1623;26,5584;85,0058;1.051;1087105;12,82;186;0,171096628
Jawa Barat;Cirebon;ID3209;-0,14453;0,402325822;-0,4101;0,0001520;0,0308307;0,0000562;7,4898;28,7456;80,2253;2.306;2209633;11,24;385;0,174237079
Jawa Barat;Majalengka;ID3210;-0,16799;0,550773576;-0,5195;0,0001587;0,0302291;0,0000557;9,5432;26,1856;82,6149;1.084;1210709;11,43;114;0,094159703
Jawa Barat;Sumedang;ID3211;-0,21486;0,730510845;-0,6368;0,0001465;0,0284253;0,0000539;8,0358;25,2060;82,9070;759;1154428;10,26;119;0,103081353
Jawa Barat;Indramayu;ID3212;-0,13671;0,332008959;-0,3632;0,0001576;0,0310740;0,0000565;4,9306;28,2354;77,0207;899;1737624;12,7;273;0,15711109
