PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Jawa Tengah;Cilacap;ID3301;-0,18360;0,574212871;-0,5352;0,000132;0,029186653;0,0000501;4,9815;26,5683;83,8706;924;2007829;10,99;436;0,217149966
Jawa Tengah;Banyumas;ID3302;-0,20705;0,683613116;-0,6133;0,000134;0,028912389;0,0000498;6,3546;25,9949;83,0873;1.340;1828573;12,53;860;0,470312096
Jawa Tengah;Purbalingga;ID3303;-0,21487;0,699250546;-0,6211;0,000147;0,028423716;0,0000493;10,4745;25,6842;82,3134;1.487;1027333;14,99;262;0,255029285
Jawa Tengah;Banjarnegara;ID3304;-0,24613;0,738327074;-0,6524;0,000131;0,02760422;0,0000481;8,5209;24,6561;83,9604;1.003;1047226;14,9;195;0,186206225
Jawa Tengah;Kebumen;ID3305;-0,15233;0,605467508;-0,5664;0,000132;0,02938176;0,0000465;4,9753;26,6157;82,3116;1.124;1397555;16,34;398;0,284783068
Jawa Tengah;Purworejo;ID3306;-0,20704;0,683623003;-0,6212;0,000144;0,02939781;0,0000471;4,1847;26,0506;83,4543;709;788265;11,33;261;0,331106925
Jawa Tengah;Wonosobo;ID3307;-0,26175;0,769590877;-0,6758;0,000123;0,026770408;0,0000486;7,4127;23,9118;85,1299;903;909664;15,58;239;0,262734372
Jawa Tengah;Magelang;ID3308;-0,19143;0,652344963;-0,5977;0,000161;0,028457076;0,0000555;5,1960;24,5218;84,3738;1.184;1330656;10,96;283;0,212677056
Jawa Tengah;Boyolali;ID3309;-0,05860;0,5195431;-0,5273;0,000185;0,029922826;0,0000589;5,1396;26,2644;77,9351;1.061;1090129;9,81;398;0,365094406
Jawa Tengah;Klaten;ID3310;-0,09767;0,527366307;-0,5117;0,000171;0,029310183;0,0000575;3,9553;26,3811;80,7370;1.925;1284386;12,28;566;0,440677491
Jawa Tengah;Sukoharjo;ID3311;-0,01952;0,464848712;-0,4805;0,000177;0,029443136;0,0000574;4,0027;27,1156;78,9186;1.864;932680;7,58;521;0,558605309
Jawa Tengah;Wonogiri;ID3312;-0,05077;0,55859231;-0,5664;0,000128;0,026990152;0,0000479;4,5458;25,7424;82,3715;585;1051085;10,94;358;0,340600427
Jawa Tengah;Karanganyar;ID3313;-0,12894;0,566405434;-0,5508;0,000172;0,028171756;0,0000564;5,0194;25,8574;77,6152;1.211;955116;9,79;295;0,308863007
Jawa Tengah;Sragen;ID3314;-0,04295;0,511733589;-0,5117;0,000181;0,03062633;0,0000597;4,9463;27,8050;73,9421;1.045;997485;12,87;329;0,329829521
Jawa Tengah;Grobogan;ID3315;0,03516;0,386696477;-0,4336;0,000181;0,030555271;0,0000586;4,3459;28,3281;73,2935;725;1492891;11,72;402;0,26927619
Jawa Tengah;Blora;ID3316;0,04298;0,43358399;-0,4805;0,000162;0,030188113;0,0000572;3,2914;27,7752;74,8269;491;901621;11,49;245;0,271732801
Jawa Tengah;Rembang;ID3317;0,03516;0,425775275;-0,4726;0,000161;0,030387327;0,0000617;3,0400;27,8905;77,2664;730;660166;14,17;206;0,312042729
Jawa Tengah;Pati;ID3318;-0,00391;0,37107349;-0,4336;0,000166;0,030438421;0,0000601;4,6387;27,9568;77,0097;894;1359364;9,31;505;0,371497259
Jawa Tengah;Kudus;ID3319;-0,05859;0,43358147;-0,4570;0,000181;0,031418631;0,0000616;5,8954;28,1430;75,7583;2.005;874632;7,24;408;0,466481903
Jawa Tengah;Jepara;ID3320;-0,12109;0,558596444;-0,5586;0,000166;0,031325612;0,0000638;6,6976;27,9023;77,0804;1.122;1221086;6,61;297;0,243226112
Jawa Tengah;Demak;ID3321;0,01174;0,300772927;-0,3789;0,000202;0,032112912;0,0000618;4,5366;29,0028;73,3329;1.347;1240510;12,01;321;0,25876454
Jawa Tengah;Semarang;ID3322;-0,13674;0,597658396;-0,5742;0,000178;0,028758967;0,0000596;6,0719;26,1760;78,2450;1.115;1080648;7,17;311;0,287790289
Jawa Tengah;Temanggung;ID3323;-0,19141;0,675782936;-0,6211;0,000147;0,027489731;0,0000545;5,8111;24,6151;83,1670;948;808446;9,26;264;0,326552423
Jawa Tengah;Kendal;ID3324;-0,14456;0,5429533;-0,5273;0,000200;0,031851326;0,0000673;5,2724;27,3278;79,6570;917;1052826;9,39;292;0,277348774
Jawa Tengah;Batang;ID3325;-0,21487;0,628895751;-0,5742;0,000181;0,031391253;0,0000662;7,3930;26,1435;81,4719;1.023;828883;8,92;152;0,183379319
Jawa Tengah;Pekalongan;ID3326;-0,23051;0,644563332;-0,5664;0,000195;0,029765902;0,0000611;8,6643;26,0270;80,9658;1.167;1007384;9,67;220;0,218387427
Jawa Tengah;Pemalang;ID3327;-0,14454;0,527336427;-0,5117;0,000173;0,029934574;0,0000546;7,5146;26,3965;80,1208;1.328;1523622;15,03;316;0,207400523
Jawa Tengah;Tegal;ID3328;-0,07422;0,48828344;-0,4961;0,000178;0,031599948;0,0000585;5,9042;26,8612;80,2319;1.836;1654836;7,3;378;0,228421427
Jawa Tengah;Brebes;ID3329;-0,11328;0,511710049;-0,5117;0,000166;0,030375985;0,0000548;5,2116;27,0685;81,1148;1.047;2043077;15,78;406;0,198719872
Jawa Tengah;Kota Magelang;ID3371;0,07421;0,316294969;-0,3711;0,000188;0,028954354;0,0000596;5,0507;25,0129;85,1035;7.572;122150;6,11;359;2,939009415
Jawa Tengah;Kota Surakarta;ID3372;0,13676;0,199140075;-0,2774;0,000212;0,031282092;0,0000679;4,6863;27,5861;77,0331;11.361;526870;8,44;916;1,738569287
Jawa Tengah;Kota Salatiga;ID3373;-0,06647;0,53509665;-0,5429;0,000169;0,028187528;0,0000605;5,8300;25,3756;79,1814;3.374;198920;4,66;259;1,302030967
Jawa Tengah;Kota Semarang;ID3374;-0,02734;0,394522367;-0,4258;0,000205;0,03239513;0,0000768;4,9869;28,2158;75,2032;4.432;1694743;4,23;2066;1,219063893
Jawa Tengah;Kota Pekalongan;ID3375;-0,01165;0,238258229;-0,3242;0,000181;0,034513134;0,0000604;5,3548;28,2853;79,4266;6.813;317524;6,81;241;0,758997745
Jawa Tengah;Kota Tegal;ID3376;0,01173;0,222642356;-0,3164;0,000189;0,033134695;0,0000593;3,3368;28,4095;77,9423;6.950;282781;7,68;178;0,629462375
Daerah Istimewa Yogyakarta;Kulon Progo;ID3401;-0,15234;0,621086837;-0,5742;0,000135;0,02930195;0,0000469;3,4011;26,0877;83,7523;756;453584;15,64;265;0,584235776
Daerah Istimewa Yogyakarta;Bantul;ID3402;-0,08204;0,519538181;-0,5039;0,000141;0,028953918;0,0000484;3,7376;26,5534;83,1490;1.992;1078404;11,95;744;0,68990842
Daerah Istimewa Yogyakarta;Gunung Kidul;ID3403;-0,00395;0,550782683;-0,5508;0,000122;0,027592941;0,0000460;4,0375;26,4384;81,7924;506;786023;15,6;296;0,376579311
Daerah Istimewa Yogyakarta;Sleman;ID3404;-0,09768;0,527339025;-0,5039;0,000165;0,029649178;0,0000557;4,4410;25,8624;83,3429;2.013;1300361;7,52;2907;2,235533056
Daerah Istimewa Yogyakarta;Kota Yogyakarta;ID3471;0,15234;0,206996302;-0,2851;0,000158;0,030306739;0,0000560;4,0872;26,5862;83,1138;11.560;455535;6,49;1047;2,298396391
Jawa Timur;Pacitan;ID3501;-0,17578;0,714869249;-0,6524;0,000109;0,026475987;0,0000441;4,9889;25,2599;83,9439;422;596649;13,65;160;0,268164365
Jawa Timur;Ponorogo;ID3502;-0,10547;0,566398789;-0,5664;0,000128;0,027210935;0,0000484;4,1272;25,3069;82,5823;727;972582;9,53;412;0,423614667
Jawa Timur;Trenggalek;ID3503;-0,20704;0,691417366;-0,6211;0,000098;0,026749365;0,0000437;5,3714;25,3358;83,1417;637;744358;10,63;216;0,29018295
Jawa Timur;Tulungagung;ID3504;-0,12109;0,550783012;-0,5352;0,000113;0,027697178;0,0000455;3,9426;25,9445;81,4386;1.032;1113973;6,53;545;0,489239865
Jawa Timur;Blitar;ID3505;-0,14453;0,62109311;-0,5742;0,000125;0,027574622;0,0000465;4,5988;25,8386;81,9768;916;1249497;8,69;451;0,360945244
Jawa Timur;Kediri;ID3506;-0,12893;0,582047901;-0,5586;0,000170;0,028951017;0,0000575;4,3090;25,5676;80,7296;1.180;1667450;10,72;639;0,383219887
Jawa Timur;Malang;ID3507;-0,19924;0,683607202;-0,6211;0,000117;0,02651151;0,0000465;5,4818;24,8325;82,7078;752;2703175;9,45;1.301;0,481285895
