PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Jawa Tengah;Wonosobo;ID3307;-0,29299;0,738294;-0,6446;0,0001;0,024922;0,000057;12,9018;23,8646;87,9757;910;896346;16,17;190;0,211972
Jawa Tengah;Magelang;ID3308;-0,24614;0,691399;-0,5977;0,0001;0,026199;0,000063;9,9544;24,4104;87,8553;1.209;1312573;11,09;284;0,216369
Jawa Tengah;Boyolali;ID3309;-0,16797;0,691428;-0,6133;0,0001;0,02727;0,000062;8,2314;25,7423;84,3970;1.064;1079952;9,82;349;0,323163
Jawa Tengah;Klaten;ID3310;-0,16798;0,58985;-0,5352;0,0001;0,027639;0,000062;7,8324;25,9442;85,6450;1.946;1275850;12,33;603;0,472626
Jawa Tengah;Sukoharjo;ID3311;-0,13672;0,53515;-0,4962;0,0002;0,027333;0,000063;6,8395;26,4839;84,6792;1.964;916627;7,61;580;0,632755
Jawa Tengah;Wonogiri;ID3312;-0,19141;0,746117;-0,6524;0,0001;0,025562;0,000055;7,5622;25,4904;85,1667;580;1057087;10,99;367;0,347181
Jawa Tengah;Karanganyar;ID3313;-0,20705;0,683612;-0,6055;0,0001;0,026653;0,000061;8,1047;25,2194;83,9041;1.227;947642;9,85;352;0,371448
Jawa Tengah;Sragen;ID3314;-0,13673;0,54296;-0,5040;0,0001;0,027823;0,000063;7,5737;26,9095;81,6648;1.048;992243;12,94;353;0,355760
Jawa Tengah;Grobogan;ID3315;-0,10546;0,605466;-0,5508;0,0001;0,027901;0,000061;6,9186;27,4134;81,3129;744;1470150;11,8;359;0,244193
Jawa Tengah;Blora;ID3316;-0,09766;0,66017;-0,5899;0,0001;0,027533;0,000059;6,0463;26,9449;81,8330;495;888224;11,53;232;0,261195
Jawa Tengah;Rembang;ID3317;-0,11327;0,652347;-0,5821;0,0001;0,027718;0,000063;5,7235;27,3220;81,1204;642;650770;14,65;155;0,238179
Jawa Tengah;Pati;ID3318;-0,13672;0,574215;-0,5352;0,0001;0,027572;0,000062;7,1167;27,3566;81,8770;898;1339572;9,33;494;0,368775
Jawa Tengah;Kudus;ID3319;-0,16017;0,597645;-0,5508;0,0002;0,028271;0,000062;8,1113;27,3939;82,3187;2.014;856472;7,41;491;0,573282
Jawa Tengah;Jepara;ID3320;-0,22267;0,730487;-0,6524;0,0001;0,027904;0,000064;9,3473;27,3868;81,3989;1.188;1192811;6,88;361;0,302646
Jawa Tengah;Demak;ID3321;-0,12108;0,441409;-0,4258;0,0002;0,028649;0,000063;6,4574;28,1727;80,2356;1.363;1223217;12,09;309;0,252613
Jawa Tengah;Semarang;ID3322;-0,22267;0,714867;-0,6211;0,0001;0,026107;0,000063;9,0993;25,6927;84,5759;1.128;1068492;7,27;358;0,335052
Jawa Tengah;Temanggung;ID3323;-0,26956;0,761759;-0,6602;0,0001;0,025387;0,000060;10,0083;24,4525;87,2936;919;799764;9,33;203;0,253825
Jawa Tengah;Kendal;ID3324;-0,22268;0,683602;-0,6133;0,0002;0,028598;0,000068;9,1035;27,0261;83,0821;1.031;1033367;9,48;309;0,299023
Jawa Tengah;Batang;ID3325;-0,27737;0,753938;-0,6602;0,0001;0,027916;0,000068;10,7839;25,9518;84,8759;1.031;813791;8,98;138;0,169577
Jawa Tengah;Pekalongan;ID3326;-0,28519;0,753939;-0,6524;0,0002;0,027504;0,000064;13,0332;25,7495;85,2121;1.180;986455;9,67;217;0,219980
Jawa Tengah;Pemalang;ID3327;-0,22267;0,660164;-0,5977;0,0001;0,027743;0,000060;11,6978;26,1278;84,5300;1.483;1500754;15,06;265;0,176578
Jawa Tengah;Tegal;ID3328;-0,16016;0,582047;-0,5430;0,0001;0,028518;0,000062;9,3224;26,6245;84,6209;1.846;1623595;7,9;365;0,224810
Jawa Tengah;Brebes;ID3329;-0,18360;0,58203;-0,5352;0,0001;0,028525;0,000060;8,9852;26,7691;85,1947;1.213;2010617;16,05;409;0,203420
Jawa Tengah;Kota Magelang;ID3371;0,02736;0,394576;-0,4102;0,0002;0,027033;0,000065;9,7136;24,9090;88,5182;6.715;121675;7,1;321;2,638175
Jawa Tengah;Kota Surakarta;ID3372;0,12891;0,230408;-0,2851;0,0002;0,0282;0,000070;7,7351;26,8174;83,5792;11.878;523008;8,84;1647;3,149091
Jawa Tengah;Kota Salatiga;ID3373;-0,16804;0,621123;-0,5586;0,0001;0,025631;0,000065;8,6042;24,9787;85,6210;3.683;195065;4,73;277;1,420039
Jawa Tengah;Kota Semarang;ID3374;-0,11331;0,511719;-0,4805;0,0002;0,029249;0,000073;7,7370;27,6624;80,3033;4.442;1659975;4,25;3094;1,863883
Jawa Tengah;Kota Pekalongan;ID3375;-0,02732;0,269523;-0,3555;0,0001;0,030568;0,000065;7,2260;27,8595;83,0918;6.889;309742;7;279;0,900750
Jawa Tengah;Kota Tegal;ID3376;-0,00395;0,230424;-0,3086;0,0002;0,030091;0,000064;5,3199;28,0251;81,8933;8.069;278299;7,91;196;0,704278
Daerah Istimewa Yogyakarta;Kulon Progo;ID3401;-0,25395;0,761801;-0,6602;0,0001;0,027712;0,000054;9,2463;26,0451;84,1932;782;451342;16,39;265;0,587138
Daerah Istimewa Yogyakarta;Bantul;ID3402;-0,18362;0,667969;-0,5977;0,0001;0,027424;0,000057;8,8220;26,4561;83,8093;1.980;1013170;12,27;744;0,734329
Daerah Istimewa Yogyakarta;Gunung Kidul;ID3403;-0,16797;0,769571;-0,6758;0,0001;0,02651;0,000053;8,1580;26,2476;83,8242;523;770883;15,86;296;0,383975
Daerah Istimewa Yogyakarta;Sleman;ID3404;-0,18362;0,636747;-0,5664;0,0001;0,027758;0,000061;9,3800;25,6562;86,1420;2.000;1147562;7,74;2907;2,533196
Daerah Istimewa Yogyakarta;Kota Yogyakarta;ID3471;0,16016;0,246037;-0,3164;0,0001;0,027892;0,000061;8,0752;26,3446;85,1272;11.546;378913;6,62;1047;2,763167
Jawa Timur;Pacitan;ID3501;-0,27737;0,824296;-0,7149;0,0001;0,025069;0,000051;9,0753;25,3170;83,6375;414;592916;13,8;139;0,234435
Jawa Timur;Ponorogo;ID3502;-0,21485;0,738299;-0,6446;0,0001;0,025344;0,000054;7,5167;24,9894;85,3003;680;964253;9,32;374;0,387865
Jawa Timur;Trenggalek;ID3503;-0,30080;0,816479;-0,6993;0,0001;0,025173;0,000050;10,9333;25,2402;84,0217;592;739669;10,96;188;0,254168
Jawa Timur;Tulungagung;ID3504;-0,21487;0,714873;-0,6290;0,0001;0,02644;0,000053;8,5618;25,6536;83,7378;966;1105337;6,71;450;0,407116
Jawa Timur;Blitar;ID3505;-0,23049;0,761754;-0,6680;0,0001;0,026442;0,000053;8,6356;25,6217;84,1095;711;1240322;8,71;337;0,271704
Jawa Timur;Kediri;ID3506;-0,22268;0,722684;-0,6446;0,0001;0,02738;0,000062;7,9818;25,1511;84,0643;1.087;1656020;10,65;534;0,322460
Jawa Timur;Malang;ID3507;-0,25394;0,746114;-0,6524;0,0001;0,025189;0,000053;9,3553;24,7503;85,2898;773;2685900;9,55;1.037;0,386090
Jawa Timur;Lumajang;ID3508;-0,25394;0,722681;-0,6289;0,0001;0,025312;0,000052;9,3191;25,2128;85,2736;633;1137227;9,06;344;0,302490
Jawa Timur;Jember;ID3509;-0,26173;0,777373;-0,6758;0,0001;0,025916;0,000051;7,9569;25,3894;85,5345;775;2567718;9,39;788;0,306887
Jawa Timur;Banyuwangi;ID3510;-0,23827;0,675795;-0,5899;0,0001;0,0251;0,000047;7,9573;25,8659;84,8476;482;1731731;7,51;575;0,332038
Jawa Timur;Bondowoso;ID3511;-0,23830;0,753921;-0,6680;0,0001;0,024485;0,000054;6,9134;23,9759;85,9796;503;781417;13,47;182;0,232910
Jawa Timur;Situbondo;ID3512;-0,18361;0,722668;-0,6524;0,0001;0,025722;0,000055;5,2160;26,3588;81,9531;418;691260;11,78;177;0,256054
Jawa Timur;Probolinggo;ID3513;-0,23048;0,730474;-0,6445;0,0001;0,025558;0,000069;8,0699;25,0347;82,4995;673;1159965;17,12;224;0,193109
Jawa Timur;Pasuruan;ID3514;-0,19141;0,644533;-0,5821;0,0001;0,027145;0,000072;7,7243;25,1100;81,3184;1.084;1619035;8,96;426;0,263120
Jawa Timur;Sidoarjo;ID3515;-0,14455;0,363287;-0,3399;0,0002;0,028266;0,000078;5,9314;27,1687;77,9718;2.905;2103401;5,36;1.499;0,712655
Jawa Timur;Mojokerto;ID3516;-0,18360;0,636742;-0,5586;0,0002;0,028363;0,000078;7,1936;25,1915;82,8847;1.151;1133584;9,71;476;0,419907
Jawa Timur;Jombang;ID3517;-0,19143;0,652371;-0,5742;0,0002;0,028766;0,000071;7,0324;26,0108;82,4117;1.204;1335972;9,04;475;0,355546
Jawa Timur;Nganjuk;ID3518;-0,18361;0,691433;-0,6133;0,0001;0,02815;0,000062;6,8713;25,7370;83,1318;867;1117033;10,7;302;0,270359
Jawa Timur;Madiun;ID3519;-0,18360;0,714876;-0,6211;0,0001;0,027441;0,000060;6,9213;25,3595;84,8032;6.668;757665;10,79;201;0,265289
Jawa Timur;Magetan;ID3520;-0,18361;0,660165;-0,5977;0,0001;0,026095;0,000058;6,3965;25,1300;83,7843;960;678343;9,84;204;0,300733
Jawa Timur;Ngawi;ID3521;-0,16797;0,660183;-0,5821;0,0001;0,027512;0,000059;6,5565;26,3507;81,7787;629;877432;14,15;343;0,390913
Jawa Timur;Bojonegoro;ID3522;-0,12110;0,605464;-0,5586;0,0001;0,028099;0,000060;6,9861;26,6185;81,9041;569;1315125;12,21;389;0,295789
Jawa Timur;Tuban;ID3523;-0,08203;0,55858;-0,5352;0,0001;0,028131;0,000064;5,8280;27,0738;81,1709;613;1209543;15,02;347;0,286885
Jawa Timur;Lamongan;ID3524;-0,14451;0,51173;-0,4805;0,0002;0,028188;0,000068;6,1332;27,2252;78,8317;783;1371509;12,53;539;0,392998
Jawa Timur;Gresik;ID3525;-0,16796;0,433613;-0,4024;0,0001;0,028236;0,000076;5,7760;27,5644;78,8601;1.061;1332664;11,06;816;0,612307
